Fri May 08 11:04:49 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 09:48:21 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 10:40:43 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 10:40:43 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 10:40:43 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 10:40:43 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 10:43:30 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 10:43:30 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 10:43:30 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 10:43:30 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 10:44:43 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 10:44:43 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 10:44:43 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 10:44:43 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 10:44:49 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 10:44:49 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 10:44:49 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 10:44:49 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 11:06:29 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:06:29 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:06:29 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:06:29 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 11:28:34 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:28:34 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:28:34 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:28:34 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 11:29:56 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:29:56 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:29:56 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:29:56 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 11:31:04 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:31:04 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:31:04 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:31:04 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 11:33:22 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:33:22 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:33:22 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:33:22 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 11:34:25 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:34:25 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:34:25 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:34:25 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 12:12:12 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 12:12:12 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 12:12:12 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 12:12:12 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 14:41:48 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 14:41:48 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 14:41:48 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 14:41:48 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 14:42:04 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 14:42:04 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 14:42:04 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 14:42:04 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 14:52:29 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 14:52:29 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 14:52:29 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 14:52:29 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 16:57:19 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 16:57:19 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 16:57:19 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 16:57:19 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:10:53 2026 - USER: akash12, OPERATION: READ, FILE: test1.txt
Mon May 11 17:11:13 2026 - USER: akash12, OPERATION: CREATE, FILE: akash.txt
Mon May 11 17:11:23 2026 - USER: akash12, OPERATION: READ, FILE: akash.txt
Mon May 11 17:11:40 2026 - USER: akash12, OPERATION: APPEND, FILE: akash.txt
Mon May 11 17:11:46 2026 - USER: akash12, OPERATION: READ, FILE: akash.txt
Mon May 11 17:11:59 2026 - USER: akash12, OPERATION: DELETE, FILE: akash.txt
Mon May 11 17:27:22 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:27:22 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:27:22 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:27:22 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:28:06 2026 - USER: akash12, OPERATION: CREATE, FILE: a.txt
Mon May 11 17:28:17 2026 - USER: akash12, OPERATION: DELETE, FILE: a.txt
Mon May 11 17:28:58 2026 - USER: akash12, OPERATION: CREATE, FILE: b.txt
Mon May 11 17:29:15 2026 - USER: akash12, OPERATION: DELETE, FILE: b.txt
Mon May 11 17:31:17 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:31:17 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:31:17 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:31:17 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:32:15 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:32:15 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:32:15 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:32:15 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:33:01 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:33:01 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:33:01 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:33:01 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:40:15 2026 - USER: akash12, OPERATION: PERMISSION, FILE: akash.txt
Mon May 11 17:41:45 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:41:45 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:41:45 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:41:45 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:43:46 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:43:46 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:43:46 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:43:46 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:46:07 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:46:07 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:46:07 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:46:07 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:47:53 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:47:53 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:47:53 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:47:53 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:49:40 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:49:40 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:49:40 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:49:40 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
